Timestamp,Value,
1623067024000,-1.437861,
1623067024001,6.733982,
1623067024002,-1.365968,
1623067024003,0.167750,
1623067024004,-2.540221,
1623067024005,-0.766859,
1623067024006,2.372471,
1623067024007,-0.718930,
1623067024008,5.104406,
1623067024009,1.677504,
1623067024010,-2.324542,
1623067024011,-0.287572,
1623067024012,0.287572,
1623067024013,1.533718,
1623067024014,-0.119822,
1623067024015,-1.365968,
1623067024016,1.629576,
1623067024017,3.163294,
1623067024018,-0.119822,
1623067024019,-1.893184,
1623067024020,-2.564185,
1623067024021,-0.071893,
1623067024022,-1.198218,
1623067024023,-4.768906,
1623067024024,-4.673048,
1623067024025,0.862717,
1623067024026,-4.385476,
1623067024027,3.355009,
1623067024028,0.671002,
1623067024029,-2.013005,
1623067024030,6.829840,
1623067024031,-5.655586,
1623067024032,-6.086945,
1623067024033,0.071893,
1623067024034,-5.320086,
1623067024035,1.365968,
1623067024036,2.755900,
1623067024037,-0.575144,
1623067024038,1.605611,
1623067024039,0.263608,
1623067024040,1.605611,
1623067024041,6.973626,
1623067024042,13.875359,
1623067024043,-16.703152,
1623067024044,3.642581,
1623067024045,-0.742895,
1623067024046,1.605611,
1623067024047,-1.078396,
1623067024048,-2.540221,
1623067024049,0.958574,
1623067024050,-1.533718,
1623067024051,0.503251,
1623067024052,3.163294,
1623067024053,0.191715,
1623067024054,-2.156791,
1623067024055,12.988677,
1623067024056,-12.796963,
1623067024057,4.121868,
1623067024058,1.941112,
1623067024059,0.431358,
1623067024060,2.851758,
1623067024061,-0.119822,
1623067024062,4.673048,
1623067024063,1.150289,
1623067024064,-1.653540,
1623067024065,-5.487836,
1623067024066,-6.518303,
1623067024067,0.215679,
1623067024068,4.577191,
1623067024069,-0.383430,
1623067024070,-1.006503,
1623067024071,-7.668591,
1623067024072,0.647037,
1623067024073,0.575144,
1623067024074,-0.335501,
1623067024075,0.910645,
1623067024076,11.550817,
1623067024077,-6.350553,
1623067024078,-7.908235,
1623067024079,3.067437,
1623067024080,-1.509754,
1623067024081,-2.516257,
1623067024082,-1.629576,
1623067024083,-1.389932,
1623067024084,-1.917148,
1623067024085,15.720613,
1623067024086,1.557683,
1623067024087,-4.433404,
1623067024088,7.452913,
1623067024089,2.060934,
1623067024090,-1.605611,
1623067024091,3.858260,
1623067024092,-3.139330,
1623067024093,6.710018,
1623067024094,6.015052,
1623067024095,0.479287,
1623067024096,0.407394,
1623067024097,-1.869219,
1623067024098,-3.642581,
1623067024099,-4.457369,
1623067024100,3.594652,
1623067024101,1.461825,
1623067024102,2.276613,
1623067024103,-1.246146,
1623067024104,2.132827,
1623067024105,-1.365968,
1623067024106,-0.143786,
1623067024107,-0.407394,
1623067024108,-0.934610,
1623067024109,-3.259151,
1623067024110,0.335501,
1623067024111,-1.270110,
1623067024112,-0.647037,
1623067024113,0.599109,
1623067024114,1.581647,
1623067024115,0.575144,
1623067024116,1.318039,
1623067024117,-4.265654,
1623067024118,-0.071893,
1623067024119,-3.426902,
1623067024120,6.997590,
1623067024121,-0.359465,
1623067024122,0.239643,
1623067024123,4.193761,
1623067024124,2.228684,
1623067024125,0.047929,
1623067024126,2.348506,
1623067024127,0.671002,
1623067024128,0.742895,
1623067024129,-0.095857,
1623067024130,-2.228684,
1623067024131,5.080442,
1623067024132,0.359465,
1623067024133,0.527216,
1623067024134,0.694966,
1623067024135,-0.575144,
1623067024136,3.019508,
1623067024137,2.132827,
1623067024138,-1.270110,
1623067024139,3.163294,
1623067024140,-12.557319,
1623067024141,-10.017098,
1623067024142,-2.731936,
1623067024143,2.013005,
1623067024144,0.287572,
1623067024145,-2.276613,
1623067024146,-0.910645,
1623067024147,0.503251,
1623067024148,2.468328,
1623067024149,2.204720,
1623067024150,-2.516257,
1623067024151,-2.540221,
1623067024152,-2.036970,
1623067024153,0.167750,
1623067024154,-41.913647,
1623067024155,1.509754,
1623067024156,8.028057,
1623067024157,-9.034559,
1623067024158,-0.119822,
1623067024159,2.324542,
1623067024160,-2.180756,
1623067024161,-0.862717,
1623067024162,-0.095857,
1623067024163,-0.862717,
1623067024164,3.954118,
1623067024165,1.749398,
1623067024166,-1.677504,
1623067024167,3.043472,
1623067024168,-5.535765,
1623067024169,-1.389932,
1623067024170,-2.348506,
1623067024171,2.803829,
1623067024172,-1.270110,
1623067024173,-1.174253,
1623067024174,-10.376563,
1623067024175,-2.660043,
1623067024176,3.091401,
1623067024177,1.797326,
1623067024178,2.492292,
1623067024179,-0.191715,
1623067024180,-1.126324,
1623067024181,0.167750,
1623067024182,0.575144,
1623067024183,-0.263608,
1623067024184,2.060934,
1623067024185,7.141376,
1623067024186,5.344050,
1623067024187,0.167750,
1623067024188,8.555273,
1623067024189,0.071893,
1623067024190,7.476877,
1623067024191,-4.337547,
1623067024192,2.492292,
1623067024193,8.746987,
1623067024194,0.982538,
1623067024195,3.378973,
1623067024196,-1.389932,
1623067024197,-0.694966,
1623067024198,-2.636078,
1623067024199,-0.623073,
1623067024200,3.738438,
1623067024201,-0.071893,
1623067024202,2.300578,
1623067024203,1.222182,
1623067024204,-2.779865,
1623067024205,4.241690,
1623067024206,1.198218,
1623067024207,0.790824,
1623067024208,-0.047929,
1623067024209,-2.779865,
1623067024210,0.143786,
1623067024211,-6.829840,
1623067024212,-1.989041,
1623067024213,-2.923651,
1623067024214,-6.422446,
1623067024215,8.387522,
1623067024216,-1.246146,
1623067024217,-8.794916,
1623067024218,-8.243736,
1623067024219,-12.820927,
1623067024220,-5.224228,
1623067024221,1.701469,
1623067024222,-1.893184,
1623067024223,-0.982538,
1623067024224,-2.923651,
1623067024225,-1.174253,
1623067024226,3.762403,
1623067024227,0.359465,
1623067024228,4.553226,
1623067024229,5.344050,
1623067024230,-1.941112,
1623067024231,1.653540,
1623067024232,-3.211223,
1623067024233,5.032513,
1623067024234,-1.294075,
1623067024235,-0.047929,
1623067024236,-4.241690,
1623067024237,2.803829,
1623067024238,2.947615,
1623067024239,0.814788,
1623067024240,-0.742895,
1623067024241,5.799373,
1623067024242,-2.084898,
1623067024243,1.725433,
1623067024244,-2.636078,
1623067024245,0.527216,
1623067024246,-3.738438,
1623067024247,4.145833,
1623067024248,-2.612114,
1623067024249,1.893184,
1623067024250,-0.958574,
1623067024251,1.437861,
1623067024252,-9.513846,
1623067024253,-14.905826,
1623067024254,-0.910645,
1623067024255,-6.134873,
1623067024256,1.246146,
